Anno,living_planet_index_%,terreno_coltivato_(1000ha),pascoli_(1000ha)
1971,99.1002759,1390565000.0,3190808250.0
1972,97.9298836,1390648875.0,3201226000.0
1973,96.7828407,1397658750.0,3211266750.0
1974,95.3454341,1395884000.0,3223072500.0
1975,93.5558012,1395172375.0,3229843500.0
1976,91.4892185,1401859750.0,3225345000.0
1977,88.5352412,1402371625.0,3226596750.0
1978,85.68404670000001,1411382625.0,3232396500.0
1979,83.34747999999999,1416060750.0,3234414000.0
1981,79.8368748,1421204125.0,3246917500.0
1982,77.2813851,1432902875.0,3252971000.0
1983,74.5181848,1438800250.0,3255870250.0
1984,71.8320243,1457707750.0,3267136250.0
1985,69.7531144,1473867375.0,3282516000.0
1986,68.12566559999999,1481208500.0,3279781500.0
1987,66.322487,1484145000.0,3292510250.0
1988,64.5467006,1483573250.0,3310281250.0
1989,63.5743437,1484217750.0,3321640000.0
1991,61.6091396,1489498500.0,3300429750.0
1992,60.1198509,1485902000.0,3343051000.0
1993,58.1092963,1486230500.0,3326763000.0
1994,56.2008977,1485169250.0,3348582750.0
1995,54.0360964,1485598750.0,3348264250.0
1996,53.0421358,1485985625.0,3355514250.0
1997,51.7500764,1490852875.0,3370872500.0
1998,50.4664511,1491422375.0,3383766750.0
1999,48.6643792,1495521000.0,3382689500.0
2000,47.2215375,1492847875.0,3386684500.0
2001,45.6713694,1493032375.0,3388912500.0
2002,44.4983943,1491222250.0,3381702250.0
2003,43.5156567,1500001750.0,3357646750.0
2004,42.9278308,1506679625.0,3310676500.0
2005,42.2031513,1511389250.0,3312300000.0
2006,41.2951521,1508261875.0,3312438250.0
2007,40.1428042,1509851375.0,3302963000.0
2008,38.7193914,1511861625.0,3289181750.0
2009,36.877125,1515471500.0,3280952500.0
2011,33.4410414,1529942500.0,3285013500.0
2012,32.3710899,1543514250.0,3229051750.0
2013,31.7382643,1546792125.0,3216337750.0
2014,31.6690208,1547908625.0,3213868250.0
2015,31.6275314,1549212000.0,3187282000.0
2016,31.1454081,1551244000.0,3181518500.0
2017,30.8852702,1559083875.0,3208128750.0
2018,30.8975673,1557248500.0,3193180750.0
